keyword,mention_count,avg_priority,avg_semantic,avg_tiktok,max_engagement
tiktok creator commerce,7873,0.14378547656547697,0.05178212100504041,0.3100469960624921,884.0
TikTok Shop,3477,0.3065691650848432,0.11184942755423938,0.7272792637331033,212.0
affiliate,1423,0.17329399156711173,0.08130694532489852,0.3510189739985945,167.0
commission,778,0.12899569794344473,0.06872614530757348,0.23875321336760927,167.0
affiliate marketing,278,0.10554419784172663,0.0662200476475214,0.16636690647482014,167.0
health,223,0.12826630493273541,0.05921152371312249,0.2600896860986547,108.0
shoes,140,0.043667507142857144,0.04763414954059985,0.04107142857142857,55.0
UGC creator,138,0.15727621739130435,0.07266700862142156,0.358695652173913,9.0
gut health,134,0.05502844776119403,0.07298797224454073,0.029850746268656716,10.0
skincare,133,0.09067690977443608,0.05879845874193934,0.16165413533834586,15.0
red light therapy,124,0.07759343548387097,0.12417519423900877,0.0020161290322580645,0.0
live shopping,122,0.17919312295081968,0.08238031196654673,0.42418032786885246,28.0
protein coffee,116,0.04822770689655172,0.07465820041065284,0.00646551724137931,0.0
packing cubes,115,0.0611802,0.0976258871408539,0.002173913043478261,0.0
capsule wardrobe,114,0.06199392105263157,0.0999903223054333,0.0,0.0
home organization,111,0.03877994594594594,0.05709929200709517,0.01126126126126126,0.0
quiet luxury,110,0.0675606,0.10896884598047755,0.0,0.0
tiktok shop,100,0.22265619,0.11355826634021997,0.5075,0.0
social commerce,100,0.11326482,0.09558836022194754,0.18,0.0
haul,100,0.10450951,0.04638626685960005,0.2525,0.0
unboxing,100,0.1038423,0.04531023166720391,0.2525,0.0
hair care,100,0.054514810000000004,0.08066917567482906,0.015,0.0
holy grail,100,0.04974844,0.07902971352267416,0.0025,0.0
self care,99,0.0754080101010101,0.11551651988774359,0.012626262626262626,0.0
beauty product,99,0.04630149494949495,0.06246095038438093,0.025252525252525252,0.0
skincare routine,99,0.04223617171717172,0.06079150009858109,0.015151515151515152,0.0
amazon seller,99,0.040186505050505056,0.06359497525730869,0.0025252525252525255,0.0
amazon finds,98,0.05187727551020409,0.083673134717038,0.0,0.0
sold out,98,0.049350071428571424,0.0758938550385308,0.007653061224489796,0.0
ecommerce,98,0.04748089795918367,0.06176953441568062,0.030612244897959183,0.0
travel gear,98,0.04672154081632653,0.07535726871424366,0.0,0.0
new launch,98,0.03600007142857143,0.05683027401007613,0.002551020408163265,0.0
carry on,97,0.0608820206185567,0.09694975295201592,0.002577319587628866,0.0
shopify,97,0.04825685567010309,0.06411557727383392,0.028350515463917526,0.0
jewelry,97,0.03895040206185567,0.06157612118424271,0.002577319587628866,0.0
magnesium,96,0.030381906249999997,0.04774302059708436,0.0026041666666666665,0.0
kitchen gadget,95,0.04294188421052632,0.06544111612179022,0.007894736842105263,0.0
not worth it,94,0.07646528723404256,0.12075728202183585,0.005319148936170213,0.0
honest review,93,0.04656886021505377,0.0738103753442701,0.002688172043010753,0.0
decor trend,93,0.045556494623655915,0.06827534965124586,0.010752688172043012,0.0
worth it,92,0.07910951086956522,0.12496619257636343,0.005434782608695652,0.0
meal prep,92,0.04698428260869565,0.07315137299153145,0.005434782608695652,0.0
baby product,92,0.040948967391304346,0.06210206188270624,0.008152173913043478,0.0
functional beverage,92,0.03803820652173913,0.06135193548042777,0.0,0.0
outfit,91,0.03223271428571429,0.050658910311826455,0.0027472527472527475,0.0
dupe,90,0.02855441111111111,0.04471149532981465,0.002777777777777778,0.0
favorite product,87,0.0543767816091954,0.08770448438124595,0.0,0.0
fashion trend,85,0.04695098823529412,0.07430431609746863,0.0029411764705882353,0.0
sponsorship,85,0.03322071764705883,0.046465916279865196,0.014705882352941176,0.0
cleaning hack,84,0.039099214285714286,0.05586284789026551,0.01488095238095238,0.0
handbag,83,0.03111212048192771,0.04872338537230147,0.0030120481927710845,0.0
restock,83,0.029975313253012045,0.04251756036917211,0.012048192771084338,0.0
sunscreen,82,0.05356130487804878,0.04489079516004005,0.08536585365853659,1.0
pet product,79,0.04900688607594937,0.0790433480858495,0.0,0.0
organization,76,0.04920643421052631,0.045518025533705785,0.0625,17.0
wellness supplement,72,0.03788873611111111,0.05775080787276637,0.006944444444444444,0.0
furniture,70,0.050386542857142856,0.04694185404165785,0.06428571428571428,4.0
summer essentials,64,0.04833525,0.07417990071366527,0.0078125,0.0
home improvement,64,0.031685796875,0.04432981403844693,0.0078125,129.0
paid partnership,63,0.05830768253968254,0.0652427634197327,0.05952380952380952,0.0
matcha,63,0.02459965079365079,0.0340919276277687,0.007936507936507936,4.0
hair growth,62,0.03865516129032258,0.050386031528661356,0.024193548387096774,1.0
high protein,62,0.026866693548387097,0.038390955541772305,0.008064516129032258,16.0
Amazon storefront,61,0.03923229508196721,0.04957733720727017,0.02459016393442623,4.0
ice roller,61,0.034388081967213116,0.05149854920933409,0.00819672131147541,0.0
robot vacuum,61,0.02178165573770492,0.035131746306788385,0.0,0.0
Amazon finds,60,0.04977281666666667,0.07826269491332093,0.004166666666666667,0.0
home decor,60,0.0404799,0.06529028982367246,0.0,0.0
fitness,60,0.03619995,0.044274115924515425,0.029166666666666667,0.0
home appliances,60,0.03294113333333333,0.051114713382885396,0.004166666666666667,0.0
K beauty,60,0.031176483333333335,0.0442363185106893,0.0125,0.0
summer dress,60,0.03007845,0.04851367220104103,0.0,0.0
fragrance,60,0.028122499999999998,0.037294411603832844,0.016666666666666666,0.0
snacks,60,0.027237033333333334,0.04393084363557347,0.0,0.0
kitchen appliances,60,0.02597786666666667,0.041899881395121755,0.0,0.0
makeup,60,0.0259443,0.03982956891573687,0.004166666666666667,0.0
linen pants,60,0.024805033333333334,0.04000821649718422,0.0,0.0
ballet flats,60,0.024288516666666666,0.0371590694433233,0.004166666666666667,0.0
books,60,0.023269266666666667,0.0375310373968621,0.0,0.0
drinks,60,0.021836666666666667,0.03522048409748177,0.0,0.0
beauty & personal care,60,0.021629716666666667,0.03287051395906182,0.004166666666666667,0.0
drinkware,60,0.020863183333333334,0.03365033161582519,0.0,0.0
portable AC,60,0.020498000000000002,0.03306138922324916,0.0,0.0
air fryer,60,0.019929816666666666,0.03214495032759569,0.0,0.0
obsessed with this,60,0.019464650000000003,0.029378527920860324,0.004166666666666667,0.0
household appliances,60,0.019132416666666666,0.030858875221249034,0.0,0.0
collagen peptides,60,0.018666816666666666,0.030107867817461702,0.0,0.0
desktop computers,60,0.018138066666666668,0.029254977235983335,0.0,0.0
laptops & tablets,60,0.018136266666666668,0.029251983790105945,0.0,0.0
smart ring,60,0.016377866666666668,0.026416017184420142,0.0,0.0
portable projector,60,0.016119716666666666,0.02599956184360355,0.0,0.0
tinted moisturizer,60,0.01546405,0.024942160785784886,0.0,0.0
food & beverages,60,0.0038847833333333333,0.0062657874928289505,0.0,0.0
